Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
302;Skylar Mays;PG;26;POR;21;5;17;2.5;6.6;0.384;0.7;2.3;0.286;1.9;4.2;0.438;0.435;0.6;0.8;0.765;0.4;1.3;1.8;3.6;0.7;0.1;0.9;1;6.3
302;Skylar Mays;SG;26;LAL;5;0;6;1.2;2;0.6;0.4;0.4;1;0.8;1.6;0.5;0.7;0;0;0;0.2;0.4;0.6;1.2;0.4;0;0;0.8;2.8
303;Miles McBride;PG;23;NYK;37;2;10.8;1.9;4.2;0.452;1.1;2.5;0.447;0.8;1.6;0.459;0.587;0.4;0.5;0.789;0.1;0.6;0.7;0.9;0.5;0.1;0.4;1.1;5.3
304;CJ McCollum;PG;32;NOP;35;35;32.2;6.9;14.8;0.465;3.4;7.8;0.431;3.5;7;0.504;0.579;2;2.6;0.789;0.6;3.6;4.2;4.7;1.1;0.9;1.7;2.2;19.2
305;T.J. McConnell;PG;31;IND;39;4;17.2;3.5;6.7;0.527;0.1;0.5;0.167;3.4;6.2;0.554;0.533;0.9;1.2;0.761;0.5;2.1;2.6;5.5;1.1;0.1;1.5;1.1;8
306;Jaden McDaniels;SF;23;MIN;39;38;28.8;4.5;8.7;0.513;1.3;3.4;0.368;3.2;5.3;0.606;0.585;0.7;0.9;0.771;0.7;1.9;2.7;1.3;0.9;0.5;1.2;3.2;10.9
307;Jalen McDaniels;SF;26;TOR;30;0;9.1;1.1;3.3;0.343;0.4;1.7;0.22;0.8;1.6;0.469;0.399;0.5;0.7;0.7;0.3;1;1.2;0.5;0.4;0.1;0.4;0.9;3.1
308;Doug McDermott;SF;32;SAS;45;0;15.3;2.1;4.7;0.443;1.7;3.8;0.441;0.4;0.9;0.452;0.62;0.2;0.4;0.588;0.2;0.9;1;1.3;0.2;0;0.5;1;6.1
309;JaVale McGee;C;36;SAC;37;0;8.2;2;3.1;0.64;0;0.1;0;2;3;0.658;0.64;0.7;1.2;0.581;1;1.9;2.9;0.4;0.2;0.5;0.8;1.1;4.6
310;Bryce McGowens;SG;21;CHO;38;12;16.2;1.8;4.1;0.452;0.7;1.9;0.347;1.2;2.2;0.542;0.532;0.9;1.2;0.745;0.3;1.4;1.7;1;0.3;0.1;0.6;1.4;5.3
311;Jordan McLaughlin;PG;27;MIN;28;0;9.1;1;2.4;0.418;0.5;1.4;0.395;0.5;1;0.448;0.53;0.1;0.2;0.5;0.3;0.7;1;1.8;0.8;0.2;0.4;0.5;2.6
312;De'Anthony Melton;SG;25;PHI;33;33;29.1;3.9;9.9;0.393;2.1;5.8;0.363;1.8;4.1;0.437;0.5;1.9;2.3;0.827;0.8;3.2;4;3.2;1.6;0.5;1.2;2.4;11.8
313;Nathan Mensah;C;25;CHO;22;0;12.8;0.5;1;0.435;0;0;0;0.5;1;0.435;0.435;0.4;0.5;0.75;1.2;1.5;2.7;0.4;0.3;0.6;0.6;2.6;1.3
314;Sam Merrill;SG;27;CLE;32;0;16.3;2.8;6.5;0.435;2.4;5.6;0.436;0.4;0.9;0.433;0.622;0.3;0.3;0.909;0.4;1.6;2;1.6;0.3;0;0.3;1.3;8.4
315;Chimezie Metu;C;26;PHO;36;5;12.2;1.8;3.5;0.508;0.4;1.4;0.294;1.4;2.1;0.653;0.567;1.1;1.2;0.884;0.6;2.3;3;0.5;0.5;0.3;0.7;1.1;5
316;Vasilije Mici?;PG;30;OKC;28;0;12;1.3;3.1;0.419;0.4;1.5;0.244;0.9;1.6;0.578;0.477;0.5;0.7;0.737;0;0.8;0.8;2.5;0.3;0.1;0.9;0.8;3.4
317;Khris Middleton;SF;32;MIL;42;42;26.7;5.7;11.8;0.486;1.7;4.6;0.375;4;7.2;0.556;0.559;1.9;2.2;0.839;0.6;3.7;4.3;5.1;0.9;0.3;2.1;2.5;15
318;Brandon Miller;SF;21;CHO;41;35;31;5.9;13.4;0.438;2.2;5.7;0.383;3.7;7.6;0.479;0.52;1.7;2;0.819;0.8;3;3.9;2.3;0.7;0.5;1.6;2.6;15.6
319;Jordan Miller;SF;24;LAC;4;0;4;0.8;1.3;0.6;0.3;0.3;1;0.5;1;0.5;0.7;0;0;0;0.5;0.3;0.8;0;0;0;0.3;0.5;1.8
320;Leonard Miller;SF;20;MIN;5;0;3.8;1.2;1.8;0.667;0.2;0.6;0.333;1;1.2;0.833;0.722;0;0;0;0;1.8;1.8;0.2;0.2;0.2;0.2;0.6;2.6
321;Dariq Whitehead;SF;19;BRK;2;0;12;0.5;2.5;0.2;0;1.5;0;0.5;1;0.5;0.2;0.5;1;0.5;0;2;2;1.5;0;0.5;0;0;1.5
322;Patty Mills;PG;35;ATL;18;0;10.7;1.1;2.7;0.388;0.7;1.8;0.394;0.3;0.9;0.375;0.52;0;0;0;0.3;0.7;1;0.7;0.4;0.1;0.4;0.9;2.8
